full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code-security-review,2906,2906,219,0,0,0,https://github.com/anthropics/claude-code-security-review
edmund-io/edmunds-claude-code,1066,1066,219,0,0,0,https://github.com/edmund-io/edmunds-claude-code
github/spec-kit,66273,66273,5709,50,50,1,https://github.com/github/spec-kit
snarktank/ralph,8658,8658,1018,61,61,1,https://github.com/snarktank/ralph
ComposioHQ/awesome-claude-skills,28024,28024,2709,136,136,9,https://github.com/ComposioHQ/awesome-claude-skills
ghuntley/claude-code-source-code-deobfuscation,818,818,406,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
feiskyer/claude-code-settings,1161,1161,177,1,1,1,https://github.com/feiskyer/claude-code-settings
siteboon/claudecodeui,5811,5811,760,11,11,3,https://github.com/siteboon/claudecodeui
sugyan/claude-code-webui,878,878,201,2,2,0,https://github.com/sugyan/claude-code-webui
lst97/claude-code-sub-agents,1372,1372,222,1,1,0,https://github.com/lst97/claude-code-sub-agents
sickn33/antigravity-awesome-skills,5401,5401,1210,84,84,9,https://github.com/sickn33/antigravity-awesome-skills
router-for-me/CLIProxyAPI,8657,8657,1366,29,29,11,https://github.com/router-for-me/CLIProxyAPI
nishimoto265/Claude-Code-Communication,485,485,236,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
21st-dev/1code,4621,4621,441,4,4,1,https://github.com/21st-dev/1code
centminmod/my-claude-code-setup,1766,1766,173,4,4,0,https://github.com/centminmod/my-claude-code-setup
rizethereum/claude-code-requirements-builder,1735,1735,173,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
andrepimenta/claude-code-chat,984,984,149,1,1,1,https://github.com/andrepimenta/claude-code-chat
darcyegb/ClaudeCodeAgents,504,504,47,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
EveryInc/compound-engineering-plugin,6682,6682,536,27,27,0,https://github.com/EveryInc/compound-engineering-plugin
ykdojo/claude-code-tips,1717,1717,109,7,7,0,https://github.com/ykdojo/claude-code-tips
winfunc/opcode,20277,20277,1573,8,8,0,https://github.com/winfunc/opcode
Njengah/claude-code-cheat-sheet,1249,1249,152,2,2,0,https://github.com/Njengah/claude-code-cheat-sheet
steipete/claude-code-mcp,1044,1044,123,-1,-1,0,https://github.com/steipete/claude-code-mcp
EnzeD/vibe-coding,3827,3827,1231,2,2,2,https://github.com/EnzeD/vibe-coding
zed-industries/claude-code-acp,839,839,130,4,4,0,https://github.com/zed-industries/claude-code-acp
slopus/happy,9801,9801,720,43,43,5,https://github.com/slopus/happy
peterkrueck/Claude-Code-Development-Kit,1293,1293,147,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
wasabeef/claude-code-cookbook,988,988,107,0,0,0,https://github.com/wasabeef/claude-code-cookbook
revfactory/claude-code-mastering,750,750,121,1,1,0,https://github.com/revfactory/claude-code-mastering
catlog22/Claude-Code-Workflow,1207,1207,99,4,4,0,https://github.com/catlog22/Claude-Code-Workflow
disler/claude-code-hooks-multi-agent-observability,931,931,287,0,0,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
JessyTsui/Claude-Code-Remote,986,986,107,1,1,0,https://github.com/JessyTsui/Claude-Code-Remote
DmitrySolana/ralph-claude-code,1158,1158,97,0,0,0,https://github.com/DmitrySolana/ralph-claude-code
0xfurai/claude-code-subagents,669,669,127,1,1,0,https://github.com/0xfurai/claude-code-subagents
jarrodwatts/claude-code-config,887,887,104,0,0,0,https://github.com/jarrodwatts/claude-code-config
opactorai/Claudable,3717,3717,559,1,1,0,https://github.com/opactorai/Claudable
pchalasani/claude-code-tools,1312,1312,85,4,4,1,https://github.com/pchalasani/claude-code-tools
bfly123/claude_code_bridge,971,971,93,3,3,2,https://github.com/bfly123/claude_code_bridge
anthropics/claude-plugins-official,5416,5416,560,39,39,1,https://github.com/anthropics/claude-plugins-official
simonw/claude-code-transcripts,894,894,93,2,2,0,https://github.com/simonw/claude-code-transcripts
jeremylongshore/claude-code-plugins-plus-skills,1200,1200,149,7,7,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
zhukunpenglinyutong/idea-claude-code-gui,1038,1038,110,75,75,0,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
obra/superpowers,40075,40075,3052,240,240,21,https://github.com/obra/superpowers
numman-ali/openskills,7447,7447,502,21,21,2,https://github.com/numman-ali/openskills
anthropics/claude-agent-sdk-demos,1298,1298,208,3,3,0,https://github.com/anthropics/claude-agent-sdk-demos
kepano/obsidian-skills,8647,8647,453,29,29,3,https://github.com/kepano/obsidian-skills
anthropics/claude-agent-sdk-python,4422,4422,586,10,10,0,https://github.com/anthropics/claude-agent-sdk-python
upstash/context7,44124,44124,2115,25,25,3,https://github.com/upstash/context7
kn1026/cc,703,703,268,0,0,0,https://github.com/kn1026/cc
ericbuess/claude-code-docs,650,650,97,0,0,0,https://github.com/ericbuess/claude-code-docs
alirezarezvani/claude-code-tresor,473,473,109,1,1,0,https://github.com/alirezarezvani/claude-code-tresor
d-kimuson/claude-code-viewer,834,834,83,0,0,0,https://github.com/d-kimuson/claude-code-viewer
zsio/claude-code-hub,155,155,174,0,0,1,https://github.com/zsio/claude-code-hub
severity1/claude-code-prompt-improver,1099,1099,96,0,0,0,https://github.com/severity1/claude-code-prompt-improver
superdesigndev/superdesign,5824,5824,672,1,1,0,https://github.com/superdesigndev/superdesign
lyconear/Claude-Code,4,4,145,0,0,0,https://github.com/lyconear/Claude-Code
greggh/claude-code.nvim,1770,1770,56,0,0,0,https://github.com/greggh/claude-code.nvim
browser-use/browser-use,77422,77422,9168,21,21,3,https://github.com/browser-use/browser-use
BloopAI/vibe-kanban,19741,19741,1839,38,38,3,https://github.com/BloopAI/vibe-kanban
anomalyco/opencode,92570,92570,8552,305,305,33,https://github.com/anomalyco/opencode
Matt-Dionis/claude-code-configs,611,611,79,0,0,0,https://github.com/Matt-Dionis/claude-code-configs
manzaltu/claude-code-ide.el,1307,1307,73,0,0,0,https://github.com/manzaltu/claude-code-ide.el
alirezarezvani/claude-skills,1469,1469,171,7,7,1,https://github.com/alirezarezvani/claude-skills
MadAppGang/claude-code,219,219,21,0,0,0,https://github.com/MadAppGang/claude-code
farion1231/cc-switch,14910,14910,923,101,101,2,https://github.com/farion1231/cc-switch
coleam00/context-engineering-intro,12295,12295,2581,1,1,-1,https://github.com/coleam00/context-engineering-intro
code-yeongyu/oh-my-opencode,25991,25991,1879,100,100,8,https://github.com/code-yeongyu/oh-my-opencode
carlvellotti/claude-code-pm-course,407,407,104,1,1,0,https://github.com/carlvellotti/claude-code-pm-course
timothywarner-org/claude-code,194,194,19,0,0,0,https://github.com/timothywarner-org/claude-code
PleasePrompto/notebooklm-skill,2916,2916,271,29,29,3,https://github.com/PleasePrompto/notebooklm-skill
hesreallyhim/a-list-of-claude-code-agents,1158,1158,111,0,0,0,https://github.com/hesreallyhim/a-list-of-claude-code-agents
UfoMiao/zcf,5365,5365,378,5,5,0,https://github.com/UfoMiao/zcf
daaain/claude-code-log,673,673,59,0,0,0,https://github.com/daaain/claude-code-log
